OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
CPU OS 12_5_5 like Mac OS X,iPad,Not Available,Not Available,Apple Inc.,Apple GPU,768x1024,Safari/604.1,129.205.23.111,Africa,Uganda,Central Region,Kampala,Roke Investments International Ltd,Roke Investments International Ltd,0.06467916514959242 deg,32.46707252044089 deg,165 m,1165.6099853515625,Not Available,Not Available
Win64,Win32,4,8,Google Inc. (Intel),"ANGLE (Intel, Intel(R) HD Graphics 5500 Direct3D11 vs_5_0 ps_5_0, D3D11-20.19.15.5126)",1366x768,Chrome/95.0.4638.69,129.205.23.111,Africa,Uganda,Central Region,Kampala,Roke Investments International Ltd,Roke Investments International Ltd,0.06464982212636786 deg,32.46704108148743 deg,65 m,1165.6099853515625,Not Available,Not Available
Win64,Win32,4,8,Google Inc. (Intel),"ANGLE (Intel, Intel(R) HD Graphics 5500 Direct3D11 vs_5_0 ps_5_0, D3D11-20.19.15.5126)",1366x768,Chrome/95.0.4638.69,129.205.23.111,Africa,Uganda,Central Region,Kampala,Roke Investments International Ltd,Roke Investments International Ltd,0.06464982212636786 deg,32.46704108148743 deg,65 m,1165.6099853515625,Not Available,Not Available
CPU OS 12_5_5 like Mac OS X,iPad,Not Available,Not Available,Apple Inc.,Apple GPU,768x1024,Safari/604.1,129.205.23.111,Africa,Uganda,Central Region,Kampala,Roke Investments International Ltd,Roke Investments International Ltd,0.06465276424640302 deg,32.467044233758905 deg,65 m,1165.6099853515625,Not Available,Not Available
Android 10,Linux armv8l,8,4,Imagination Technologies,PowerVR Rogue GE8320,360x820,Chrome/94.0.4606.85,41.210.145.116,Africa,Uganda,Central Region,Kampala,MTN Uganda,MTN Uganda,0.2424683 deg,32.5540467 deg,7.900000095367432 m,1177.0120109754073,98 deg,0.4339108467102051 m/s
0.242496 deg,32.554158 deg,4.456999778747559 m,1190.8500508076231,347.1834411621094 deg,0.5702028870582581 m/s
0.2425224 deg,32.554152 deg,239.6179962158203 m,1190.8500508076231,347.18096923828125 deg,0.5699276328086853 m/s
CPU OS 12_5_5 like Mac OS X,iPad,Not Available,Not Available,Apple Inc.,Apple GPU,768x1024,Safari/604.1,129.205.23.111,Africa,Uganda,Central Region,Kampala,Roke Investments International Ltd,Roke Investments International Ltd,0.06466296646838271 deg,32.46705516471103 deg,80.28325233454179 m,1166.0699462890625,Not Available,Not Available
0.675989 deg,30.2787704 deg,19.051000595092773 m,1492.2184702260515,Not Available,0 m/s
33.985805 deg,-118.2541117 deg,3.9000000953674316 m,0,Not Available,0 m/s
Android 9,Linux armv7l,4,2,Imagination Technologies,PowerVR Rogue GE8300,360x780,Chrome/96.0.4664.45,41.210.154.48,Africa,Uganda,Western Region,Ntungamo,MTN Uganda,MTN Uganda,0.4622768 deg,33.211217 deg,2599.9990234375 m,Not Available,Not Available,Not Available
0.4622768 deg,33.211217 deg,2599.9990234375 m,Not Available,Not Available,Not Available
